title,endpoint,latency.min,latency:percentile(50),latency:percentile(75),latency:percentile(90),latency:percentile(99),latency:percentile(99.9),latency.max,latency.mean,summary.duration,summary.requests,summary.errors.connect,summary.errors.read,summary.errors.write,summary.errors.status,summary.errors.timeout
flask,/json,1.98,202.48,295.39,301.92,2276.77,3103.22,4200.98,274.95,60.10,50060,0,0,0,0,0
flask,/remote,94.44,2093.49,2796.25,4675.64,8397.57,9501.37,9602.65,2461.35,60.05,3469,0,536,0,0,188
flask,/complete,610.51,2294.85,2900.06,5102.16,9701.59,9997.53,9998.57,2790.25,60.10,2181,0,570,0,0,399
quart,/json,0.79,496.99,603.53,1004.34,5201.45,5398.44,8297.27,714.37,60.04,19788,0,200,0,0,0
quart,/remote,5.41,1592.98,1796.21,2290.85,5509.09,6336.13,8406.85,1733.04,60.05,5845,0,400,0,0,0
quart,/complete,199.00,3400.64,4500.29,6804.57,8806.41,9807.19,9997.35,3160.60,60.07,3143,0,113,0,0,100
sanic,/json,0.15,105.09,197.49,263.04,2568.80,3499.24,6500.78,204.97,60.01,77537,0,0,0,0,0
sanic,/remote,96.26,1000.61,1099.75,1200.97,5729.49,8693.94,9594.34,1184.50,60.06,7770,0,0,0,0,47
sanic,/complete,5.34,1901.48,4400.45,5099.83,8699.25,9204.83,9303.54,2884.67,60.08,4099,0,0,0,0,31
starlette,/json,0.15,109.64,197.03,288.64,3445.12,4399.10,6500.14,241.87,60.01,74195,0,127,0,0,0
starlette,/remote,199.92,1000.49,1101.22,1622.14,4842.99,8201.97,9097.47,1203.03,60.06,7606,0,150,0,0,17
starlette,/complete,208.51,2395.58,4401.55,5300.56,8999.00,9302.21,9403.00,3010.12,60.07,3791,0,0,0,0,53
